#width & depth & aveError & maxError & L2 & Converge? \\ \hline 
10 & 1 & 0.8152537558846409 & 2.13137414800375 & 1.0034338898759056 & False \\ \hline 
10 & 2 & 0.46732206884968724 & 2.40067252361467 & 0.7380401189755383 & True \\ \hline 
10 & 3 & 0.1908407953661618 & 1.79960121859884 & 0.36064996852242626 & True \\ \hline 
10 & 4 & 0.0007692687434791289 & 0.00436928167125616 & 0.0010455071432206753 & True \\ \hline 
10 & 5 & 0.0002401672311574387 & 0.00115183883141579 & 0.0003748023397015376 & True \\ \hline 
10 & 6 & 2.8481704620314817e-05 & 0.000121004314855622 & 3.7546732266198486e-05 & True \\ \hline 
10 & 7 & 0.00012114683556951888 & 0.000606668008475975 & 0.0001636466360419277 & True \\ \hline 
10 & 8 & 0.004751530923135064 & 0.0347233932361046 & 0.008223305330606301 & True \\ \hline 
10 & 9 & 4.3796649752435814e-05 & 0.000166833495129026 & 5.5473501786697096e-05 & True \\ \hline 
10 & 10 & 2.4289808396457617e-05 & 8.1708302459127e-05 & 2.8736991204903868e-05 & True \\ \hline 
20 & 1 & 0.32242124590497295 & 1.02086845093231 & 0.42859588899977225 & False \\ \hline 
20 & 2 & 0.3878135835798753 & 1.27676254944598 & 0.5782444960649846 & True \\ \hline 
20 & 3 & 2.5138566545164934e-05 & 0.000108523864033927 & 3.3172330549571025e-05 & True \\ \hline 
20 & 4 & 0.00019004256796588772 & 0.000526535191835986 & 0.00023274026358821416 & True \\ \hline 
20 & 5 & 5.310000280304146e-05 & 0.0003987310791147 & 7.953698347814135e-05 & True \\ \hline 
20 & 6 & 2.7220652182886987e-05 & 0.000119747225982625 & 3.5168735203081404e-05 & True \\ \hline 
20 & 7 & 1.3864120812793946e-05 & 0.000106377862135965 & 2.365001146182627e-05 & True \\ \hline 
20 & 8 & 0.0023277539468917986 & 0.0083324400143332 & 0.0034166511233091057 & True \\ \hline 
20 & 9 & 2.535800652900547e-05 & 0.000200564657272917 & 4.4162404129861535e-05 & True \\ \hline 
20 & 10 & 4.166559992762906e-05 & 0.00015655973172457 & 5.202201112274727e-05 & True \\ \hline 
30 & 1 & 0.08821478107184245 & 0.262819302470788 & 0.11763965612789706 & False \\ \hline 
30 & 2 & 4.5382843076693046e-05 & 0.00023867519389853 & 6.739174931354081e-05 & True \\ \hline 
30 & 3 & 1.9323084349015702e-05 & 0.000260291613589203 & 4.2238169493443414e-05 & True \\ \hline 
30 & 4 & 0.0005234944022202108 & 0.00163663980997919 & 0.0006487117098273719 & True \\ \hline 
30 & 5 & 0.00034940708548401785 & 0.00104466209940046 & 0.00043900385259274167 & True \\ \hline 
30 & 6 & 0.00040632762512430887 & 0.00104900293841381 & 0.0004924704106217703 & True \\ \hline 
30 & 7 & 3.182961629471591e-05 & 7.60618729374052e-05 & 3.8236836931527965e-05 & True \\ \hline 
